"year,birth,birthrate,birth male,birth female,death,deathrate,death male,death female"
"1981,414069,22.97,213948,200121,87192,4.84,52627,34221"
"1982,405263,22.08,209457,195806,87578,4.77,52993,34233"
"1983,383439,20.56,198240,185199,90951,4.88,55052,35503"
"1984,371008,19.6,192034,178974,89915,4.75,54704,34872"
"1985,346208,18.04,178336,167872,92348,4.81,56132,35879"
"1986,309230,15.93,160226,149004,95057,4.9,57765,36946"
"1987,314024,16.01,163331,150693,96319,4.91,59004,37315"
"1988,342031,17.24,177687,164344,102113,5.15,62457,39656"
"1989,315299,15.72,164147,151152,103288,5.15,63403,39885"
"1990,335618,16.55,176029,159589,105669,5.21,65121,40548"
"1991,321932,15.7,168865,153067,106284,5.18,65386,40898"
"1992,321632,15.53,168488,153144,110516,5.34,67948,42568"
"1993,325613,15.58,169486,156127,110901,5.31,68578,42323"
"1994,322938,15.31,168444,154494,113866,5.4,71049,42817"
"1995,329581,15.5,171118,158463,119112,5.6,73902,45210"
"1996,325545,15.18,169484,156061,122489,5.71,76190,46299"
"1997,326002,15.07,170047,155955,121000,5.59,75226,45774"
"1998,271450,12.43,141462,129988,123180,5.64,76600,46580"
"1999,283661,12.89,148042,135619,126113,5.73,78073,48040"
"2000,305312,13.76,159726,145586,125958,5.68,78223,47735"
"2001,260354,11.65,135596,124758,127647,5.71,79319,48328"
"2002,247530,11.02,129537,117993,128636,5.73,79348,49288"
"2003,227070,10.06,118984,108086,130801,5.8,80384,50417"
"2004,216419,9.56,113639,102780,135092,5.97,83696,51396"
"2005,205854,9.06,107378,98476,139398,6.13,86778,52620"
"2006,204459,8.96,106936,97523,135839,5.95,84800,51039"
"2007,204414,8.92,106898,97516,141111,6.16,87029,54082"
"2008,198733,8.64,103937,94796,143624,6.25,88541,55083"
"2009,191310,8.29,99492,91818,143582,6.22,88088,55494"
"2010,166886,7.21,87213,79673,145772,6.3,89152,56620"
"2011,196627,8.48,101943,94684,152915,6.59,93810,59105"
"2012,229481,9.86,118848,110633,154251,6.63,93618,60633"
"2013,199113,8.53,103120,95993,155908,6.68,94505,61403"
"2014,210383,8.99,108817,101566,163929,7,98733,65196"
"2015,213598,9.1,111041,102557,163858,6.98,98580,65278"
"2016,208440,8.86,108133,100307,172405,7.33,103144,69261"
"2017,193844,8.23,100477,93367,171242,7.27,101555,69687"
"2018,181601,7.7,93876,87725,172784,7.33,101931,70853"
"2019,177767,7.53,92237,85530,176296,7.47,103720,72576"
"2020,165249,7.01,85704,79545,173156,7.34,101468,71688"